ID,child_utt_num,child_edu_num,chair_utt_num,chair_edu_num,gift_utt_num,gift_edu_num,suit_utt_num,suit_edu_num
H01,31,34,24.0,33.0,6.0,7.0,11.0,11.0
H02,5,5,26.0,35.0,19.0,29.0,17.0,19.0
H03,28,39,33.0,38.0,9.0,14.0,27.0,32.0
H04,73,83,104.0,115.0,39.0,48.0,57.0,67.0
H05,41,57,43.0,50.0,33.0,48.0,43.0,57.0
H06,17,21,24.0,32.0,6.0,11.0,14.0,20.0
H07,21,28,30.0,39.0,10.0,15.0,27.0,32.0
H08,25,36,34.0,45.0,15.0,23.0,21.0,30.0
H09,10,13,26.0,32.0,7.0,9.0,6.0,10.0
H10,28,32,32.0,42.0,52.0,68.0,24.0,25.0
H11,20,29,36.0,52.0,18.0,28.0,20.0,24.0
H12,30,44,15.0,26.0,15.0,26.0,19.0,27.0
H13,18,21,19.0,23.0,13.0,18.0,21.0,25.0
H14,20,21,16.0,22.0,8.0,12.0,16.0,18.0
H15,30,41,30.0,34.0,16.0,29.0,21.0,28.0
H16,23,28,21.0,28.0,9.0,13.0,18.0,30.0
H17,52,72,32.0,38.0,34.0,37.0,61.0,94.0
H18,56,76,28.0,38.0,29.0,40.0,37.0,48.0
H19,12,15,13.0,15.0,6.0,8.0,16.0,19.0
H20,14,16,18.0,22.0,6.0,11.0,13.0,15.0
H21,21,26,39.0,53.0,20.0,29.0,31.0,36.0
S01,13,13,15.0,25.0,11.0,13.0,13.0,16.0
S02,15,15,14.0,16.0,4.0,4.0,11.0,13.0
S03,22,29,,,,,,
S05,12,14,,,,,,
S06,19,30,24.0,36.0,8.0,9.0,15.0,23.0
S07,18,21,30.0,44.0,8.0,9.0,14.0,19.0
S08,15,16,,,,,,
S09,10,23,,,,,9.0,9.0
S10,6,8,12.0,16.0,8.0,10.0,6.0,8.0
S11,26,30,15.0,15.0,7.0,9.0,13.0,13.0
S12,11,14,12.0,13.0,7.0,8.0,12.0,14.0
S13,26,31,27.0,40.0,31.0,35.0,35.0,53.0
S14,17,18,,,,,11.0,11.0
S15,16,19,16.0,16.0,30.0,34.0,18.0,21.0
S16,10,13,10.0,15.0,4.0,5.0,6.0,8.0
S17,12,18,12.0,14.0,4.0,6.0,11.0,13.0
S18,17,20,18.0,30.0,66.0,87.0,17.0,17.0
S19,19,20,24.0,33.0,12.0,13.0,19.0,19.0
S20,14,19,11.0,13.0,4.0,4.0,8.0,14.0
S21,31,41,,,,,16.0,20.0
