ID,child_mean_edu_len,child_min_edu_len,child_max_edu_len,child_word_count,chair_mean_edu_len,chair_min_edu_len,chair_max_edu_len,chair_word_count,gift_mean_edu_len,gift_min_edu_len,gift_max_edu_len,gift_word_count,suit_mean_edu_len,suit_min_edu_len,suit_max_edu_len,suit_word_count
H01,3.5757575757575757,1,9,118,4.09375,1.0,11.0,131.0,6.0,1.0,10.0,36.0,5.7,3.0,9.0,57.0
H02,4.75,4,5,19,6.588235294117647,2.0,13.0,224.0,6.142857142857143,2.0,16.0,172.0,6.444444444444445,3.0,11.0,116.0
H03,4.868421052631579,1,9,185,6.324324324324325,1.0,16.0,234.0,6.3076923076923075,2.0,12.0,82.0,4.838709677419355,1.0,10.0,150.0
H04,3.951219512195122,1,11,324,5.333333333333333,1.0,16.0,608.0,5.170212765957447,1.0,13.0,243.0,4.242424242424242,1.0,10.0,280.0
H05,5.696428571428571,2,12,319,6.836734693877551,2.0,20.0,335.0,6.531914893617022,2.0,29.0,307.0,5.767857142857143,1.0,11.0,323.0
H06,6.3,3,14,126,6.419354838709677,2.0,15.0,199.0,5.6,2.0,12.0,56.0,6.315789473684211,2.0,10.0,120.0
H07,5.555555555555555,2,12,150,4.657894736842105,2.0,10.0,177.0,5.428571428571429,1.0,16.0,76.0,4.548387096774194,1.0,8.0,141.0
H08,5.285714285714286,1,10,185,7.045454545454546,3.0,19.0,310.0,6.681818181818182,2.0,14.0,147.0,6.689655172413793,2.0,30.0,194.0
H09,5.0,1,10,60,6.774193548387097,1.0,14.0,210.0,9.25,5.0,12.0,74.0,5.111111111111111,3.0,7.0,46.0
H10,4.32258064516129,2,10,134,5.2682926829268295,1.0,11.0,216.0,4.791044776119403,1.0,13.0,321.0,4.666666666666667,1.0,9.0,112.0
H11,5.321428571428571,1,11,149,7.568627450980392,1.0,17.0,386.0,6.037037037037037,1.0,13.0,163.0,6.739130434782608,3.0,14.0,155.0
H12,4.186046511627907,1,9,180,6.56,3.0,17.0,164.0,5.68,1.0,15.0,142.0,4.115384615384615,1.0,8.0,107.0
H13,4.95,1,9,99,5.636363636363637,2.0,12.0,124.0,7.0,2.0,13.0,119.0,5.25,3.0,9.0,126.0
H14,4.0,1,8,80,7.333333333333333,3.0,13.0,154.0,6.181818181818182,3.0,10.0,68.0,4.352941176470588,2.0,8.0,74.0
H15,4.9,2,9,196,7.606060606060606,1.0,13.0,251.0,6.357142857142857,4.0,12.0,178.0,6.37037037037037,2.0,11.0,172.0
