ID,mean_semi_loc_coh_sif,mean_semi_loc_coh_bert,mean_semi_loc_coh_elmo,max_semi_loc_coh_sif,max_semi_loc_coh_bert,max_semi_loc_coh_elmo,min_semi_loc_coh_sif,min_semi_loc_coh_bert,min_semi_loc_coh_elmo,mean_loc_coh_sif,mean_loc_coh_bert,mean_loc_coh_elmo,max_loc_coh_sif,max_loc_coh_bert,max_loc_coh_elmo,min_loc_coh_sif,min_loc_coh_bert,min_loc_coh_elmo,mean_glob_coh_sif,mean_glob_coh_bert,mean_glob_coh_elmo,max_glob_coh_sif,max_glob_coh_bert,max_glob_coh_elmo,min_glob_coh_sif,min_glob_coh_bert,min_glob_coh_elmo,mean_control_glob_coh_sif,mean_control_glob_coh_bert,mean_control_glob_coh_elmo,max_control_glob_coh_sif,max_control_glob_coh_bert,max_control_glob_coh_elmo,min_control_glob_coh_sif,min_control_glob_coh_bert,min_control_glob_coh_elmo,mean_cum_coh_sif,mean_cum_coh_bert,mean_cum_coh_elmo,max_cum_coh_sif,max_cum_coh_bert,max_cum_coh_elmo,min_cum_coh_sif,min_cum_coh_bert,min_cum_coh_elmo
H01,0.335554116858832,0.8802313208580017,0.6520904898643494,0.5776070247931501,0.9324905872344971,0.7857078313827515,0.06064485218617219,0.7946885824203491,0.5219955444335938,0.335554116858832,0.8802313208580017,0.6520904898643494,0.5776070247931501,0.9324905872344971,0.7857078313827515,0.06064485218617219,0.7946885824203491,0.5219955444335938,0.42949744745972324,0.9087845683097839,0.709636390209198,0.6055614974992267,0.9323490262031555,0.7899706363677979,0.23532152038415943,0.8389544486999512,0.6085130572319031,0.42869280297090795,0.9086515307426453,0.7070824503898621,0.6351815012686108,0.9300973415374756,0.7862257957458496,0.22059202349680906,0.8443824648857117,0.6067843437194824,0.0678319761031508,0.7556354403495789,0.46493789553642273,0.5776070247931501,0.7946885824203491,0.7137700319290161,-0.13547622084466002,0.7306976318359375,0.32150182127952576
H02,0.2030114129500031,0.8722403049468994,0.5956689119338989,0.5342333829551621,0.916159987449646,0.7008345723152161,-0.1336277229941421,0.7948933243751526,0.4010384678840637,0.2030114129500031,0.8722403049468994,0.5956689119338989,0.5342333829551621,0.916159987449646,0.7008345723152161,-0.1336277229941421,0.7948933243751526,0.4010384678840637,0.3371994909773224,0.8898355960845947,0.6499053835868835,0.6937479424786641,0.9240438938140869,0.7565721273422241,-0.26328866127791173,0.7864245772361755,0.4272349178791046,0.3288636634269023,0.8895895481109619,0.6457895040512085,0.6899916549548941,0.9218429923057556,0.748781681060791,-0.20659707155834173,0.7884185314178467,0.4342449903488159,-0.1503837563265611,0.7448591589927673,0.3391706645488739,0.010305761445453577,0.8413859009742737,0.5027007460594177,-0.24919969470173284,0.6736372709274292,0.1958739012479782
H03,0.10806853940946647,0.8799747228622437,0.5841772556304932,0.3762846360123294,0.9248599410057068,0.7462116479873657,-0.14637757107707564,0.7619920969009399,0.34037458896636963,0.10806853940946647,0.8799747228622437,0.5841772556304932,0.3762846360123294,0.9248599410057068,0.7462116479873657,-0.14637757107707564,0.7619920969009399,0.34037458896636963,0.19143653432100102,0.891725480556488,0.6293748021125793,0.606831326563465,0.9336459636688232,0.7716245055198669,-0.25356196228612504,0.7900471091270447,0.4523864686489105,0.1823261443800795,0.8904330134391785,0.6230167746543884,0.6361642474682127,0.9337494373321533,0.7667698860168457,-0.2658684588501658,0.7918381690979004,0.45483896136283875,-0.1730729766901176,0.7231325507164001,0.2845635414123535,0.06356578113947577,0.8350206017494202,0.4614030420780182,-0.2844781341662299,0.5950484275817871,0.15016116201877594
H04,0.21745910998453363,0.8865680694580078,0.6184545755386353,0.5869491709296135,0.9348324537277222,0.7885919213294983,-0.11090827903569349,0.7623358368873596,0.389029860496521,0.21745910998453363,0.8865680694580078,0.6184545755386353,0.5869491709296135,0.9348324537277222,0.7885919213294983,-0.11090827903569349,0.7623358368873596,0.389029860496521,0.21833446678874685,0.8914055228233337,0.6333079934120178,0.613844420771302,0.9343464970588684,0.7787566781044006,-0.15595563422284578,0.7838926911354065,0.4142545163631439,0.1971273482480089,0.8903300166130066,0.6288880109786987,0.6429868082036581,0.9331789016723633,0.7820717692375183,-0.19123135155967075,0.7888892292976379,0.4122260510921478,-0.15818646462440644,0.6753082275390625,0.22598057985305786,0.07282311728300488,0.8403383493423462,0.4671008586883545,-0.32826522793218516,0.5795800685882568,0.13958381116390228
H05,0.20332008278372327,0.8780556917190552,0.6461278200149536,0.7829930310809937,0.9351245760917664,0.8185171484947205,-0.21913303040997265,0.6624785661697388,0.442090779542923,0.20332008278372327,0.8780556917190552,0.6461278200149536,0.7829930310809937,0.9351245760917664,0.8185171484947205,-0.21913303040997265,0.6624785661697388,0.442090779542923,0.21568672183343884,0.8871849179267883,0.6687074303627014,0.6008720027041417,0.9329010248184204,0.8088976144790649,-0.19766646761370316,0.6547004580497742,0.4692947566509247,0.18998464783666766,0.8865842819213867,0.66377192735672,0.6024262452576709,0.9307354092597961,0.8105996251106262,-0.19315598005219314,0.6552613377571106,0.462121844291687,-0.14401329048756367,0.6810164451599121,0.31186482310295105,0.25245082625089516,0.7736527323722839,0.560254693031311,-0.36702681540659104,0.4827502965927124,0.17865489423274994
H06,0.2799405622540765,0.865940511226654,0.5603199005126953,0.6796449405780127,0.9107674956321716,0.6803680062294006,-0.04727457279578781,0.7813852429389954,0.38498029112815857,0.2799405622540765,0.865940511226654,0.5603199005126953,0.6796449405780127,0.9107674956321716,0.6803680062294006,-0.04727457279578781,0.7813852429389954,0.38498029112815857,0.2990055079790862,0.8871065378189087,0.6083572506904602,0.6099499935867607,0.9313386082649231,0.74781334400177,-0.021338024391601897,0.8420604467391968,0.4283009469509125,0.3022113238534138,0.8867790102958679,0.6043896675109863,0.6389164837080406,0.9300199151039124,0.7474372386932373,-0.0421320664890226,0.8442960977554321,0.43159928917884827,-0.10045451330966143,0.7444556355476379,0.32845795154571533,0.09654065011911171,0.7937905788421631,0.49724534153938293,-0.2863795156189335,0.679410457611084,0.16100755333900452
H07,0.22998540361242378,0.8807389140129089,0.5821613073348999,0.5039734676762365,0.9245736002922058,0.6907131671905518,-0.22947484357022044,0.6794381737709045,0.3942949175834656,0.22998540361242378,0.8807389140129089,0.5821613073348999,0.5039734676762365,0.9245736002922058,0.6907131671905518,-0.22947484357022044,0.6794381737709045,0.3942949175834656,0.27818484078489264,0.8931118845939636,0.615288257598877,0.6054572658430809,0.9333207011222839,0.7384781241416931,-0.25356196228612504,0.7169138789176941,0.4404391646385193,0.275453442171257,0.8918620347976685,0.6126372814178467,0.6333731480289466,0.9323315024375916,0.7310953736305237,-0.2658684588501658,0.7192204594612122,0.43151816725730896,-0.11043050798110586,0.6517042517662048,0.2971491515636444,0.25645313573166595,0.8586280345916748,0.5401855111122131,-0.3647540394953997,0.5816521048545837,0.12445748597383499
H08,0.2402004947854899,0.8836058974266052,0.5932722687721252,0.6286852452842933,0.9326795339584351,0.737999439239502,-0.23179490093564906,0.8003565073013306,0.3779028058052063,0.2402004947854899,0.8836058974266052,0.5932722687721252,0.6286852452842933,0.9326795339584351,0.737999439239502,-0.23179490093564906,0.8003565073013306,0.3779028058052063,0.2792091528029379,0.8976148962974548,0.6441681981086731,0.5801366369046942,0.9344847798347473,0.833290696144104,-0.21312862346968262,0.8116957545280457,0.40119844675064087,0.27429793002112257,0.8972649574279785,0.6437207460403442,0.5821031203536342,0.9335758090019226,0.8308896422386169,-0.2253824461797129,0.816987156867981,0.4089999794960022,-0.10259496293704248,0.7465752959251404,0.2687259316444397,0.3648879106067416,0.8341423273086548,0.4297194480895996,-0.3246361027308154,0.6588909029960632,0.1438329517841339
H09,0.18232845945354426,0.8697801828384399,0.5908991694450378,0.549153724850701,0.9259502291679382,0.7193277478218079,-0.08331951710702691,0.7499921917915344,0.5077513456344604,0.18232845945354426,0.8697801828384399,0.5908991694450378,0.549153724850701,0.9259502291679382,0.7193277478218079,-0.08331951710702691,0.7499921917915344,0.5077513456344604,0.27662377873906435,0.903846025466919,0.6717156171798706,0.578523500404305,0.9365490078926086,0.7551873922348022,-0.045794431822669464,0.8111377358436584,0.5410156846046448,0.2415824282517559,0.9025479555130005,0.665424644947052,0.5591250297523636,0.9346717000007629,0.7421619296073914,-0.1321414533578019,0.8126581907272339,0.527145504951477,-0.03531115364557659,0.7350702285766602,0.38941454887390137,0.17159568860305313,0.8034332990646362,0.5077513456344604,-0.13943592571837105,0.6842045187950134,0.29982030391693115
H10,0.1102287758819773,0.8684433698654175,0.5803950428962708,0.3808066497058412,0.9226033091545105,0.7109615802764893,-0.16080981779791356,0.7319967150688171,0.291329562664032,0.1102287758819773,0.8684433698654175,0.5803950428962708,0.3808066497058412,0.9226033091545105,0.7109615802764893,-0.16080981779791356,0.7319967150688171,0.291329562664032,0.20425643052960898,0.8834772109985352,0.6361126899719238,0.5620934080196222,0.9320540428161621,0.7752677798271179,-0.05036412568471885,0.7642279267311096,0.4648403525352478,0.18749049075144616,0.8820516467094421,0.6311562657356262,0.5332083901804834,0.9308421611785889,0.7753104567527771,-0.0658020087205021,0.7639213800430298,0.4601455628871918,-0.14166650257572222,0.709087610244751,0.26864925026893616,0.09034753949203042,0.8394862413406372,0.35853850841522217,-0.27347845371120355,0.5872607827186584,0.1321992427110672
H11,0.20595987682071956,0.8728305697441101,0.5880244374275208,0.4619321172675182,0.9211613535881042,0.7192298173904419,-0.18350232109921646,0.7357718348503113,0.42077895998954773,0.20595987682071956,0.8728305697441101,0.5880244374275208,0.4619321172675182,0.9211613535881042,0.7192298173904419,-0.18350232109921646,0.7357718348503113,0.42077895998954773,0.29531926876808173,0.8901934623718262,0.6303845643997192,0.6071769938552285,0.9357291460037231,0.754525899887085,-0.03719572600052381,0.788703203201294,0.5537551641464233,0.2767898213963802,0.8894290924072266,0.6260401010513306,0.6144466518208458,0.934128999710083,0.7464819550514221,-0.06133323343996683,0.7901988625526428,0.5508958101272583,-0.1560902499673347,0.7161546945571899,0.32243233919143677,0.1819788564120458,0.7440357208251953,0.44386279582977295,-0.4309592623073552,0.681841254234314,0.2658866345882416
